uuid,commodity_name,country,market,price_type,unit
45ae7744-e236-48a9-bfa2-d0ea017af2ed,Mutton meat,Azerbaijan,National Average,RETAIL,Kg
48194bca-ced0-4b4a-8804-aa626ba73512,"Wheat (flour, imported)",Azerbaijan,National Average,RETAIL,Kg
669cad25-9282-4fee-8633-ac4d861b18e4,"Wheat (flour, mixed)",Azerbaijan,National Average,RETAIL,Kg
6ab37985-1ecd-41f7-84c1-33cd1f05b91f,Bread (high grade flour),Azerbaijan,National Average,RETAIL,Kg
6c537758-f557-41a5-81f6-a3c08b87b606,Beef meat,Azerbaijan,National Average,RETAIL,Kg
b8ae7b9b-ceca-432f-a19d-ffcff6363147,Potatoes,Azerbaijan,National Average,RETAIL,Kg
d904e719-eafc-492e-9f27-c9bef1c3198b,Wheat (flour),Azerbaijan,National Average,RETAIL,Kg
e7ba91ee-69cc-46df-8348-b6b62e6df85b,Milk (not pasteurized),Azerbaijan,National Average,RETAIL,Liter
0652ed79-2922-4435-ba20-a0959c405cd0,Maize (white),Burundi,National Average,RETAIL,Kg
070f68a5-e0a7-42d5-9394-9fd414b57749,Rice (low quality),Burundi,Bujumbura Rural,RETAIL,Kg
1046685f-2080-490d-a142-f36366c8d684,Potatoes (sweet),Burundi,Bujumbura Rural,RETAIL,Kg
134b13f3-b7d1-4a8e-96a4-5b98c14be21c,Cassava (flour),Burundi,Kirundo,RETAIL,Kg
1460a67e-d1ea-4023-aab1-bb47a8984326,Vegetable oil,Burundi,Kirundo,RETAIL,Kg
152f9921-aff4-4648-a8d6-0f18d5fc06c9,Potatoes (sweet),Burundi,Kirundo,RETAIL,Kg
40ef4cba-8946-4b10-bd92-267e48009e71,Rice (low quality),Burundi,Gitega,RETAIL,Kg
4785a6ab-5a1e-4aaf-aad1-9395dab4e3b3,Vegetable oil,Burundi,Gitega,RETAIL,Kg
4ae94db2-6a9e-4fde-8dd2-92f31644a10d,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
4c8833d9-6ba5-4992-91f3-bf5c3b027170,Cassava (flour),Burundi,National Average,RETAIL,Kg
6bc5a872-f79b-4b8f-b33e-7337a169ed4b,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg
6d18b19d-5667-4b46-a934-d26675ccb78d,Vegetable oil,Burundi,Bujumbura Mairie,RETAIL,Kg
